"","DUR_12","DUR_24","DUR_36","DUR_48","DUR_60","DUR_72","DUR_84","DUR_96","DUR_108","DUR_120","DUR_132","DUR_144","DUR_156","DUR_168","DUR_180","DUR_192","DUR_204","DUR_216","DUR_228","DUR_240","DUR_252","DUR_264","DUR_276","DUR_288","DUR_300","DUR_312","DUR_324","DUR_336","DUR_348","DUR_360"
"AEG19",76627.7734450799,79732.0057866344,81331.5790791104,81320.6222311151,80354.3254219841,78797.3768157594,76605.4316185653,73538.7267832231,69900.777260707,64863.3798905154,60146.9006996442,56595.1285633109,54187.8516415648,NA,53322.9536984894,54008.3232228423,56204.2992557424,58096.1875503101,58593.9588122517,58143.4002439934,58563.8774312337,60613.0155831942,64754.5543130517,69342.6469379962,73344.3682756578,75497.1091076863,76684.5791033874,77310.9320469978,78525.5193623642,80801.845752329
"AEG2",65863.4182820919,68592.4209058936,72321.5038414896,74795.2216263906,73320.2750418389,68712.0124743577,62627.432246945,57145.6067843344,53457.7095942526,52088.8709475844,51738.6447950674,51431.2763612757,51877.3576175883,NA,52575.2798945418,54117.1335376509,57237.9008305342,61318.5245608097,63962.2381457499,63922.0959013491,62764.4878043791,62738.4828591071,64936.9177700424,67623.3521866152,68424.3697142524,66355.4987816538,63323.8998897796,62565.8828385241,64356.8416475622,66620.4310161041
"AEG20",44151.248087518,46874.6137204854,50067.9356943677,53178.0334510421,54960.7785844837,54984.6730062293,52733.5747959434,48843.5280679567,44774.2560494145,41121.2872527539,38269.09817929,36823.617335904,37979.8144448693,NA,41824.4354991954,46445.3498749849,49829.3324183512,51339.9585310511,50878.7891349134,50025.4880757505,50180.2261852812,50656.1396832543,49564.122874636,47084.7311138881,44091.038519018,41418.4300848501,39348.9869266442,37984.1132449818,36770.8207274904,35451.7260056258
"AEG21",74677.1970266881,79257.1030902297,84199.9367183815,87468.6100372463,87737.6293751529,86259.0545221808,83111.9648120385,78025.7666567308,71954.0198649276,65926.2838174351,59048.2712490961,50925.7247630866,43538.7079783577,NA,40660.7077716338,43056.0594095855,48522.49763696,52534.302142343,53533.5701592194,54817.2124662499,58418.085551065,62274.3775977158,64945.5566900509,66469.4383831358,69501.7492421635,72730.6654902577,73433.8076875166,71847.5350710287,71052.7460266283,72099.7668445621
"AEG22",85496.1429743499,86285.9114628938,85641.2042300594,82860.3471448325,79164.8264762711,77155.9008101611,76864.3638933069,76339.2046318623,73982.806844285,69706.6928185987,64629.5297708344,61163.0809337466,60441.2637108772,NA,61423.1197605361,63924.6859987678,67628.2103538316,71340.8185741125,72849.999243326,72281.9005888872,70690.2857837752,69178.07028836,68006.6077849075,67215.4764758299,68393.960453175,69452.9637372789,70277.2069636999,71214.6071554425,73413.0019427097,76692.8529684478
"AEG23",85382.2082046707,85645.0858481389,86996.6960594936,88869.5975317408,90111.7337979574,88963.5090565888,84958.6297959608,79046.4262540307,72750.6323314778,67148.4744475711,62419.0522843936,59314.4532589149,58812.1890338152,NA,60030.8347200041,61413.6993004368,61440.0708245951,59140.7834340244,55545.1760723634,52569.3616877879,53168.7347861147,57399.4481258114,63794.0244213322,69262.6318818163,73773.8607788086,77503.7209330048,80430.1633903703,82241.3999461066,83525.8203949978,84805.3422633198
"AEG24",77116.8432573527,79123.4082873844,81540.7532715631,82539.0683007031,81235.5497259428,78677.0821157299,74940.7476374193,69702.0362362842,63651.7891441529,58673.6356025401,55817.3725618191,55788.9700761936,58909.795636426,NA,60931.8776594245,58507.5063425909,52917.2436806999,48214.774902872,47497.5700821884,51570.1047914919,55912.1367837202,57717.6866896802,59946.4397472968,64680.2948377746,70602.2411882644,74007.8485829459,73111.8246643088,69780.9585709527,67101.9424484583,66083.9360420024
"AEG25",59226.3801459306,58193.0431188841,56691.0795194448,56219.1369573554,57762.1779012014,59963.6769003247,60058.8224096044,58285.3906049023,56784.5251755199,57768.3498713685,60122.7364981843,62931.1264804396,65040.4919223773,NA,65032.4315969506,62369.0893571404,58608.073460369,56872.436670165,58001.9836398921,59847.0214813897,60491.0233465548,59763.0199285497,60424.9932283655,63041.3915811736,66655.6695942309,67752.0416769413,64978.0554456895,61872.8052309566,60523.124562669,60065.6153738709
"AEG26",61748.337701548,61627.3918186869,62583.5959738498,64250.0180201568,65254.5685845643,64910.1908029769,63738.5711066972,62461.583392017,60689.7158109892,58814.6033240739,56911.2558701062,55827.9514957755,54483.5465912206,NA,52873.3505183236,52049.8623154387,52358.4785269645,54440.2374842762,57912.6298644353,61392.2741395309,63160.4958014129,63018.4210533415,63718.3880202097,65738.675410344,69084.1492308251,69653.0869420527,66239.3601931083,61517.7912010902,58266.8002419601,56950.0457770521
"AEG27",65028.547159209,64854.7573512435,65050.4153541525,65671.0598571859,66530.025188184,67578.7853144465,68752.7621186951,69773.9787518859,70137.7461972642,68661.5254681564,65446.4589605978,61514.228610926,58237.1439567641,NA,56503.5708806591,55217.5933978984,54196.8690848909,54667.765956564,57481.0186206034,61510.9163380895,65364.6253088438,68440.5775399628,71151.2620309371,74186.0183598459,77912.3820191838,79029.0794807551,75232.0144084161,69759.8465620423,66537.734213341,65907.1592252515
"AEG28",82087.5605013215,81989.3300563675,80646.0608244594,78968.3154458644,77193.5466087839,72897.0230848571,64402.4592496344,55286.7159807591,49630.9123557515,47266.9052307144,45784.4476152166,44542.076522542,44230.4432024544,NA,43498.6849556771,42872.7848664987,43268.9880416989,45678.2728225979,49696.9976898808,53330.1592609664,55079.7484045611,54831.5434976245,53641.963378135,52997.7670024635,54711.880115539,57081.0843141922,58078.0225174426,55518.5874196101,50929.6417305827,47542.7479375831
"AEG29",82772.7226895029,84182.4838047091,85726.7177599854,85689.3410279559,85041.0981035139,84870.6422082134,85318.1112486018,82618.7822592227,75701.068250152,66143.7526709404,58517.1660871905,56435.0061040581,59833.2030657974,NA,64287.7633107419,65228.7698582191,62066.7326695922,57987.220566169,57307.1916352681,60322.757111308,64222.0671867079,67113.0308900784,74123.826776166,87750.3927888862,105512.205950253,116194.245201244,112022.125686935,98024.1189467246,82617.1281096223,70821.3408297346
"AEG3",82508.1167471343,85678.8919874078,87901.9115037907,88305.264841258,89014.2110615104,89761.6734882666,87975.9568054772,81538.2757957164,72677.4034880602,64391.2484054039,58926.5265062421,55601.8720755771,53957.1405017311,NA,55428.3357045659,59336.3912435867,65129.2403459112,70864.0801126267,75163.5758160071,78248.879399912,80716.7498749384,82839.2606905897,83666.3532488738,82243.7024554865,79855.1608735916,78154.4506694954,77530.0178062929,77451.9764934398,76805.7811794056,75348.4276708327
"AEG30",93443.3532636664,92529.4906673281,90411.706308565,88972.4758208515,89421.777399746,89812.409961248,88685.2889988977,84640.7539124106,78861.3846859361,73439.6908534463,69344.9518255921,66142.2602152022,63687.1264480679,NA,63319.3030761115,65873.1174523359,71215.9365809662,75968.6558054595,77849.1595789944,77287.3196294323,76540.0876678602,77098.324845951,78418.1461962071,79796.0304316384,81856.6707306603,83416.2651921046,83112.1267830211,80007.0588319584,76556.6578394691,75275.1794931901
"AEG31",119942.668375735,121771.234640196,124038.968544314,124740.546085305,122988.948849381,119442.668746703,114008.211504004,105076.445378233,93827.8942578448,81932.383695067,71010.7871388723,64155.2313881235,61561.9079542156,NA,62176.6021586144,65084.7048548925,66860.5400827446,66137.2901915804,65413.6962974617,68768.7539522259,76383.9016697283,85908.4815862746,97659.0034506414,111511.590512905,125246.506187869,131560.472078806,129413.704440942,123506.562661311,119282.151631522,118375.117590967
